Dato	Time	P_mm_738moh	T_minC_738moh	T_maxC_738moh	Q_Hagabru
dd.mm.yyyy	hh:mm:ss	mm	grC	grC	m3/s
1.4.2000	00:00:00	1.42	-1.77	-1.77	26.79
2.4.2000	00:00:00	0.15	-6.05	-6.05	24.96
3.4.2000	00:00:00	1.96	-6.08	-6.08	22.11
4.4.2000	00:00:00	0.8	-7.14	-7.14	19.44
5.4.2000	00:00:00	1.53	-7.99	-7.99	17.62
6.4.2000	00:00:00	6.54	-6.21	-6.21	16.37
7.4.2000	00:00:00	0.54	-3.32	-3.32	15.68
8.4.2000	00:00:00	0.01	-1.45	-1.45	16.75
9.4.2000	00:00:00	0	-0.62	-0.62	20.74
10.4.2000	00:00:00	0	0.16	0.16	24.56
11.4.2000	00:00:00	0	0.73	0.73	27.94
12.4.2000	00:00:00	0.35	1.31	1.31	29.40
13.4.2000	00:00:00	2.28	-0.90	-0.90	29.42
14.4.2000	00:00:00	4.17	-1.80	-1.80	28.09
15.4.2000	00:00:00	0.88	-0.01	-0.01	28.00
16.4.2000	00:00:00	2.85	0.76	0.76	31.25
17.4.2000	00:00:00	0.03	1.32	1.32	41.03
18.4.2000	00:00:00	0.01	2.84	2.84	56.16
19.4.2000	00:00:00	0	3.89	3.89	82.77
20.4.2000	00:00:00	0	4.89	4.89	119.93
21.4.2000	00:00:00	0	4.74	4.74	183.76
22.4.2000	00:00:00	0	4.91	4.91	257.62
23.4.2000	00:00:00	0.02	5.05	5.05	309.26
24.4.2000	00:00:00	0.56	4.11	4.11	323.74
25.4.2000	00:00:00	0.05	3.26	3.26	258.27
26.4.2000	00:00:00	0.72	2.35	2.35	217.17
27.4.2000	00:00:00	1.54	1.00	1.00	164.95
28.4.2000	00:00:00	0.55	3.30	3.30	173.18
29.4.2000	00:00:00	0.01	5.82	5.82	341.45
30.4.2000	00:00:00	0	9.72	9.72	586.36
1.5.2000	00:00:00	0	8.18	8.18	739.40
2.5.2000	00:00:00	0	7.82	7.82	697.75
3.5.2000	00:00:00	5.33	6.51	6.51	624.72
4.5.2000	00:00:00	0.36	1.46	1.46	456.53
5.5.2000	00:00:00	1.67	5.30	5.30	396.10
6.5.2000	00:00:00	0.34	3.68	3.68	358.09
7.5.2000	00:00:00	0	8.18	8.18	367.11
8.5.2000	00:00:00	0	7.30	7.30	390.24
9.5.2000	00:00:00	0	8.70	8.70	481.58
10.5.2000	00:00:00	0.36	10.90	10.90	531.70
11.5.2000	00:00:00	1.73	5.00	5.00	372.64
12.5.2000	00:00:00	0.26	0.21	0.21	229.48
13.5.2000	00:00:00	0	6.07	6.07	250.30
14.5.2000	00:00:00	0	8.47	8.47	344.36
15.5.2000	00:00:00	0	9.15	9.15	380.58
16.5.2000	00:00:00	0	11.01	11.01	428.00
17.5.2000	00:00:00	0.01	14.24	14.24	610.39
18.5.2000	00:00:00	0.03	13.57	13.57	676.00
19.5.2000	00:00:00	0.04	8.99	8.99	410.14
20.5.2000	00:00:00	0	7.02	7.02	305.67
21.5.2000	00:00:00	0.04	6.80	6.80	222.03
22.5.2000	00:00:00	0	5.39	5.39	184.14
23.5.2000	00:00:00	0.84	6.51	6.51	204.72
24.5.2000	00:00:00	0.67	7.10	7.10	195.00
25.5.2000	00:00:00	5.88	5.91	5.91	240.64
26.5.2000	00:00:00	0.04	4.78	4.78	163.81
27.5.2000	00:00:00	0	4.52	4.52	131.76
28.5.2000	00:00:00	1.6	6.38	6.38	167.87
29.5.2000	00:00:00	0	7.89	7.89	191.46
30.5.2000	00:00:00	8.64	4.76	4.76	186.29
31.5.2000	00:00:00	2.81	2.74	2.74	139.38
1.6.2000	00:00:00	3.9	3.48	3.48	120.17
2.6.2000	00:00:00	0	7.48	7.48	117.52
3.6.2000	00:00:00	2.77	6.26	6.26	145.75
4.6.2000	00:00:00	4.05	2.01	2.01	98.98
5.6.2000	00:00:00	0	1.84	1.84	72.54
6.6.2000	00:00:00	0.03	3.90	3.90	62.26
7.6.2000	00:00:00	0.05	6.73	6.73	79.29
8.6.2000	00:00:00	1.37	7.79	7.79	87.84
9.6.2000	00:00:00	0.24	5.77	5.77	77.18
10.6.2000	00:00:00	0	12.32	12.32	100.52
11.6.2000	00:00:00	0.22	11.95	11.95	156.07
12.6.2000	00:00:00	0.02	9.99	9.99	124.33
13.6.2000	00:00:00	3.64	8.11	8.11	108.72
14.6.2000	00:00:00	3.1	9.06	9.06	118.77
15.6.2000	00:00:00	0.67	6.47	6.47	72.85
16.6.2000	00:00:00	4.44	4.96	4.96	81.39
17.6.2000	00:00:00	4.02	3.12	3.12	87.28
18.6.2000	00:00:00	0.38	6.45	6.45	65.62
19.6.2000	00:00:00	2.04	9.18	9.18	85.98
20.6.2000	00:00:00	1.27	10.27	10.27	103.31
21.6.2000	00:00:00	0.02	11.30	11.30	91.98
22.6.2000	00:00:00	5.93	14.07	14.07	203.27
23.6.2000	00:00:00	9.24	12.54	12.54	259.58
24.6.2000	00:00:00	12.02	8.97	8.97	261.76
25.6.2000	00:00:00	1.76	6.26	6.26	154.20
26.6.2000	00:00:00	0.51	6.05	6.05	118.63
27.6.2000	00:00:00	8.41	4.30	4.30	226.40
28.6.2000	00:00:00	21.55	3.50	3.50	352.04
29.6.2000	00:00:00	0.18	6.48	6.48	205.46
30.6.2000	00:00:00	0.04	8.48	8.48	151.73
1.7.2000	00:00:00	0.12	13.10	13.10	130.91
2.7.2000	00:00:00	0.86	16.40	16.40	119.77
3.7.2000	00:00:00	2	15.64	15.64	152.19
4.7.2000	00:00:00	1.74	10.68	10.68	106.35
5.7.2000	00:00:00	0.02	7.51	7.51	69.14
6.7.2000	00:00:00	0	8.99	8.99	51.83
7.7.2000	00:00:00	18.94	6.62	6.62	208.02
8.7.2000	00:00:00	4.2	5.59	5.59	181.43
9.7.2000	00:00:00	1.14	4.61	4.61	132.84
10.7.2000	00:00:00	0.09	7.87	7.87	77.54
11.7.2000	00:00:00	1.42	11.03	11.03	61.09
12.7.2000	00:00:00	1.18	11.10	11.10	59.92
13.7.2000	00:00:00	4.84	10.56	10.56	113.44
14.7.2000	00:00:00	15.79	7.13	7.13	303.40
15.7.2000	00:00:00	5.41	6.59	6.59	189.14
16.7.2000	00:00:00	1.09	8.90	8.90	142.70
17.7.2000	00:00:00	3.77	7.92	7.92	161.91
18.7.2000	00:00:00	0.91	9.65	9.65	113.20
19.7.2000	00:00:00	1.73	9.77	9.77	95.89
20.7.2000	00:00:00	7.81	8.83	8.83	211.54
21.7.2000	00:00:00	0.25	8.03	8.03	127.63
22.7.2000	00:00:00	0	11.28	11.28	71.64
23.7.2000	00:00:00	0.09	11.98	11.98	50.71
24.7.2000	00:00:00	1.44	10.34	10.34	49.36
25.7.2000	00:00:00	2.16	11.35	11.35	65.67
26.7.2000	00:00:00	0	13.85	13.85	49.22
27.7.2000	00:00:00	0	14.18	14.18	34.57
28.7.2000	00:00:00	0	14.26	14.26	27.24
29.7.2000	00:00:00	0	14.53	14.53	22.62
30.7.2000	00:00:00	0	14.91	14.91	19.72
31.7.2000	00:00:00	0.02	12.86	12.86	17.77
1.8.2000	00:00:00	0	10.73	10.73	17.29
2.8.2000	00:00:00	0	10.54	10.54	16.23
3.8.2000	00:00:00	3.09	11.49	11.49	17.73
4.8.2000	00:00:00	4.71	11.99	11.99	27.53
5.8.2000	00:00:00	4.6	12.25	12.25	42.95
6.8.2000	00:00:00	1.19	13.25	13.25	32.34
7.8.2000	00:00:00	12.83	9.56	9.56	179.21
8.8.2000	00:00:00	14.35	7.00	7.00	403.53
9.8.2000	00:00:00	5.09	7.01	7.01	246.22
10.8.2000	00:00:00	0.23	5.67	5.67	104.63
11.8.2000	00:00:00	1.61	10.54	10.54	80.22
12.8.2000	00:00:00	7.86	8.46	8.46	120.81
13.8.2000	00:00:00	0.1	7.48	7.48	73.28
14.8.2000	00:00:00	0.01	11.83	11.83	46.40
15.8.2000	00:00:00	1.68	13.82	13.82	98.88
16.8.2000	00:00:00	14.35	11.06	11.06	149.38
17.8.2000	00:00:00	9.17	9.34	9.34	121.22
18.8.2000	00:00:00	3.37	9.26	9.26	129.07
19.8.2000	00:00:00	13.89	8.18	8.18	179.18
20.8.2000	00:00:00	0.06	6.96	6.96	84.47
21.8.2000	00:00:00	2.07	6.93	6.93	70.97
22.8.2000	00:00:00	2.94	7.49	7.49	89.48
23.8.2000	00:00:00	1.98	6.02	6.02	81.93
24.8.2000	00:00:00	5.82	6.87	6.87	107.63
25.8.2000	00:00:00	1.98	7.70	7.70	96.46
26.8.2000	00:00:00	0	9.49	9.49	61.85
27.8.2000	00:00:00	0	13.46	13.46	41.74
28.8.2000	00:00:00	0	13.99	13.99	31.99
29.8.2000	00:00:00	0	11.83	11.83	26.08
30.8.2000	00:00:00	2.28	10.79	10.79	35.12
31.8.2000	00:00:00	7.17	8.88	8.88	68.74
1.9.2000	00:00:00	0.01	7.74	7.74	37.92
2.9.2000	00:00:00	9.58	7.78	7.78	105.06
3.9.2000	00:00:00	4.42	5.20	5.20	93.62
4.9.2000	00:00:00	2.48	4.05	4.05	76.78
5.9.2000	00:00:00	1.85	5.44	5.44	72.01
6.9.2000	00:00:00	0	6.02	6.02	48.99
7.9.2000	00:00:00	0.01	7.76	7.76	36.93
8.9.2000	00:00:00	1.49	10.30	10.30	33.88
9.9.2000	00:00:00	0.24	8.81	8.81	28.86
10.9.2000	00:00:00	4.23	7.89	7.89	32.82
11.9.2000	00:00:00	1.67	5.76	5.76	39.83
12.9.2000	00:00:00	2.35	4.41	4.41	35.91
13.9.2000	00:00:00	0.01	2.53	2.53	30.51
14.9.2000	00:00:00	0	3.62	3.62	23.46
15.9.2000	00:00:00	0	5.05	5.05	19.74
16.9.2000	00:00:00	0.01	6.92	6.92	17.74
17.9.2000	00:00:00	2.3	8.63	8.63	34.28
18.9.2000	00:00:00	0.13	8.97	8.97	36.47
19.9.2000	00:00:00	0	8.27	8.27	24.74
20.9.2000	00:00:00	0	6.79	6.79	19.41
21.9.2000	00:00:00	0	6.79	6.79	16.47
22.9.2000	00:00:00	0	7.40	7.40	14.65
23.9.2000	00:00:00	0.15	7.54	7.54	13.44
24.9.2000	00:00:00	0	8.50	8.50	13.39
25.9.2000	00:00:00	0	8.68	8.68	12.96
26.9.2000	00:00:00	0	8.93	8.93	12.61
27.9.2000	00:00:00	0	7.94	7.94	12.39
28.9.2000	00:00:00	0	7.51	7.51	12.09
29.9.2000	00:00:00	0.99	9.68	9.68	11.88
30.9.2000	00:00:00	0	12.20	12.20	12.10
1.10.2000	00:00:00	0	13.16	13.16	11.96
2.10.2000	00:00:00	0	9.50	9.50	11.29
3.10.2000	00:00:00	1.31	9.46	9.46	11.62
4.10.2000	00:00:00	0	8.05	8.05	13.26
5.10.2000	00:00:00	0	8.60	8.60	12.19
6.10.2000	00:00:00	0	7.30	7.30	11.15
7.10.2000	00:00:00	0.23	6.02	6.02	10.57
8.10.2000	00:00:00	0	9.71	9.71	10.39
9.10.2000	00:00:00	0.04	6.77	6.77	10.38
10.10.2000	00:00:00	0.02	6.14	6.14	10.05
11.10.2000	00:00:00	1.27	4.66	4.66	10.35
12.10.2000	00:00:00	1.45	4.89	4.89	12.03
13.10.2000	00:00:00	0.54	6.35	6.35	14.99
14.10.2000	00:00:00	0	3.17	3.17	14.70
15.10.2000	00:00:00	0	4.06	4.06	13.04
16.10.2000	00:00:00	0.05	4.95	4.95	11.94
17.10.2000	00:00:00	0.11	7.84	7.84	11.87
18.10.2000	00:00:00	2.66	8.79	8.79	12.15
19.10.2000	00:00:00	0.93	7.67	7.67	12.03
20.10.2000	00:00:00	0.45	6.05	6.05	11.22
21.10.2000	00:00:00	0	3.86	3.86	10.35
22.10.2000	00:00:00	6.63	6.98	6.98	16.84
23.10.2000	00:00:00	0.15	3.30	3.30	25.61
24.10.2000	00:00:00	0.49	3.64	3.64	17.41
25.10.2000	00:00:00	2.5	4.67	4.67	18.37
26.10.2000	00:00:00	1.5	2.44	2.44	27.21
27.10.2000	00:00:00	0.01	-0.22	-0.22	18.06
28.10.2000	00:00:00	1.42	-1.56	-1.56	11.96
29.10.2000	00:00:00	0.06	-0.37	-0.37	10.35
30.10.2000	00:00:00	0.77	-0.45	-0.45	9.22
31.10.2000	00:00:00	2.28	-0.33	-0.33	8.49
1.11.2000	00:00:00	0	3.36	3.36	12.29
2.11.2000	00:00:00	0	3.42	3.42	13.30
3.11.2000	00:00:00	0	-0.04	-0.04	11.85
4.11.2000	00:00:00	0.2	2.17	2.17	10.82
5.11.2000	00:00:00	0	2.40	2.40	10.14
6.11.2000	00:00:00	0	-0.07	-0.07	9.12
7.11.2000	00:00:00	0	-4.84	-4.84	7.61
8.11.2000	00:00:00	1.9	-1.19	-1.19	8.21
9.11.2000	00:00:00	0.35	2.72	2.72	10.35
10.11.2000	00:00:00	0	2.77	2.77	10.45
11.11.2000	00:00:00	0	-0.06	-0.06	9.29
12.11.2000	00:00:00	0	-0.39	-0.39	10.37
13.11.2000	00:00:00	0.65	2.70	2.70	12.15
14.11.2000	00:00:00	0.37	0.39	0.39	11.20
15.11.2000	00:00:00	0	-5.38	-5.38	6.00
16.11.2000	00:00:00	0	-7.55	-7.55	4.00
17.11.2000	00:00:00	0	-1.94	-1.94	7.00
18.11.2000	00:00:00	0	1.58	1.58	13.51
19.11.2000	00:00:00	1.55	-0.44	-0.44	9.22
20.11.2000	00:00:00	0.66	0.59	0.59	8.61
21.11.2000	00:00:00	0.01	2.21	2.21	8.94
22.11.2000	00:00:00	0.04	-0.56	-0.56	7.78
23.11.2000	00:00:00	0.02	-0.35	-0.35	6.37
24.11.2000	00:00:00	0	1.79	1.79	7.32
25.11.2000	00:00:00	0.01	2.96	2.96	7.35
26.11.2000	00:00:00	0	2.18	2.18	7.54
27.11.2000	00:00:00	0	1.25	1.25	7.00
28.11.2000	00:00:00	0	0.36	0.36	6.00
29.11.2000	00:00:00	0	-5.09	-5.09	4.00
30.11.2000	00:00:00	2.7	-1.09	-1.09	8.00
1.12.2000	00:00:00	3.51	1.28	1.28	18.06
2.12.2000	00:00:00	1.03	0.32	0.32	16.28
3.12.2000	00:00:00	0.1	2.86	2.86	18.93
4.12.2000	00:00:00	0	0.68	0.68	15.28
5.12.2000	00:00:00	0	-0.30	-0.30	11.93
6.12.2000	00:00:00	3.92	4.70	4.70	18.57
7.12.2000	00:00:00	0	4.60	4.60	40.97
8.12.2000	00:00:00	0	-1.55	-1.55	27.83
9.12.2000	00:00:00	0.43	-1.18	-1.18	21.40
10.12.2000	00:00:00	0	-0.03	-0.03	16.72
11.12.2000	00:00:00	0	-0.51	-0.51	14.65
12.12.2000	00:00:00	0	0.40	0.40	11.96
13.12.2000	00:00:00	0.02	-0.31	-0.31	9.30
14.12.2000	00:00:00	0.26	1.52	1.52	13.13
15.12.2000	00:00:00	2.61	-2.46	-2.46	8.74
16.12.2000	00:00:00	8.48	-2.25	-2.25	9.15
17.12.2000	00:00:00	0.81	-3.06	-3.06	12.18
18.12.2000	00:00:00	0	-6.70	-6.70	6.57
19.12.2000	00:00:00	0	-12.45	-12.45	3.13
20.12.2000	00:00:00	0	-14.53	-14.53	3.47
21.12.2000	00:00:00	0.01	-13.44	-13.44	4.80
22.12.2000	00:00:00	1.37	-6.72	-6.72	7.03
23.12.2000	00:00:00	5.78	-3.61	-3.61	7.48
24.12.2000	00:00:00	3.78	-4.87	-4.87	8.43
25.12.2000	00:00:00	3.77	-5.47	-5.47	8.41
26.12.2000	00:00:00	3.62	-7.08	-7.08	8.38
27.12.2000	00:00:00	0	-12.97	-12.97	7.42
28.12.2000	00:00:00	0	-15.50	-15.50	7.40
29.12.2000	00:00:00	0.02	-18.44	-18.44	7.40
30.12.2000	00:00:00	0.01	-19.85	-19.85	7.40
31.12.2000	00:00:00	0	-22.00	-22.00	7.40
1.1.2001	00:00:00	0	-19.61	-19.61	7.40
2.1.2001	00:00:00	0.02	-8.17	-8.17	7.34
3.1.2001	00:00:00	0	-6.34	-6.34	7.28
4.1.2001	00:00:00	0	-1.87	-1.87	7.22
5.1.2001	00:00:00	0	-2.24	-2.24	7.15
6.1.2001	00:00:00	0	-1.51	-1.51	7.20
7.1.2001	00:00:00	0.02	-0.14	-0.14	7.14
8.1.2001	00:00:00	0	-2.61	-2.61	6.89
9.1.2001	00:00:00	2.86	-4.92	-4.92	6.80
10.1.2001	00:00:00	3.18	-5.60	-5.60	6.89
11.1.2001	00:00:00	13.93	-4.76	-4.76	6.80
12.1.2001	00:00:00	10.54	-2.09	-2.09	6.85
13.1.2001	00:00:00	1.59	-1.96	-1.96	7.03
14.1.2001	00:00:00	0	-7.29	-7.29	7.04
15.1.2001	00:00:00	0	-9.31	-9.31	7.11
16.1.2001	00:00:00	0	-12.28	-12.28	7.16
17.1.2001	00:00:00	0	-13.02	-13.02	7.19
18.1.2001	00:00:00	0	-13.92	-13.92	6.87
19.1.2001	00:00:00	0	-15.87	-15.87	6.67
20.1.2001	00:00:00	0	-15.22	-15.22	6.65
21.1.2001	00:00:00	0	-10.21	-10.21	6.49
22.1.2001	00:00:00	0	-5.74	-5.74	6.65
23.1.2001	00:00:00	0	-6.52	-6.52	7.17
24.1.2001	00:00:00	0.02	-4.87	-4.87	7.36
