Datetime,Percepation (mm),Temperatur (C),Observed discharge (m3/s),Simulated discharge (m3/s)
2000-09-01 00:00:00,0.01,7.74,37.92,0.04799704480451884
2000-09-02 00:00:00,9.58,7.78,105.06,15.76707805613889
2000-09-03 00:00:00,4.42,5.2,93.62,21.921570821368125
2000-09-04 00:00:00,2.48,4.05,76.78,23.974628513260324
2000-09-05 00:00:00,1.85,5.44,72.01,24.776252803778792
2000-09-06 00:00:00,0.0,6.02,48.99,23.048838336756013
2000-09-07 00:00:00,0.01,7.76,36.93,21.44523980660103
2000-09-08 00:00:00,1.49,10.3,33.88,21.831579564742622
2000-09-09 00:00:00,0.24,8.81,28.86,20.496817567363088
2000-09-10 00:00:00,4.23,7.89,32.82,26.009731585991585
2000-09-11 00:00:00,1.67,5.76,39.83,26.369443587160312
2000-09-12 00:00:00,2.35,4.41,35.91,27.876862210933677
2000-09-13 00:00:00,0.01,2.53,30.51,25.936140408087915
2000-09-14 00:00:00,0.0,3.62,23.46,24.127857916194145
2000-09-15 00:00:00,0.0,5.05,19.74,22.445650044613785
2000-09-16 00:00:00,0.01,6.92,17.74,20.884632057295214
2000-09-17 00:00:00,2.3,8.63,34.28,22.684766099336773
2000-09-18 00:00:00,0.13,8.97,36.47,21.18951725737488
2000-09-19 00:00:00,0.0,8.27,24.74,19.712172036948665
2000-09-20 00:00:00,0.0,6.79,19.41,18.337828167322762
2000-09-21 00:00:00,0.0,6.79,16.47,17.059304335612406
2000-09-22 00:00:00,0.0,7.4,14.65,15.869919914160251
2000-09-23 00:00:00,0.15,7.54,13.44,14.866917279963223
2000-09-24 00:00:00,0.0,8.5,13.39,13.830387333610558
2000-09-25 00:00:00,0.0,8.68,12.96,12.866124845901375
2000-09-26 00:00:00,0.0,8.93,12.61,11.969091288429277
2000-09-27 00:00:00,0.0,7.94,12.39,11.134599421860123
2000-09-28 00:00:00,0.0,7.51,12.09,10.358288803857704
2000-09-29 00:00:00,0.99,9.68,11.88,10.758603284438628
2000-09-30 00:00:00,0.0,12.2,12.1,10.008507331441146
2000-10-01 00:00:00,0.0,13.16,11.96,9.31070849581363
2000-10-02 00:00:00,0.0,9.5,11.29,8.661560592725621
2000-10-03 00:00:00,1.31,9.46,11.62,9.656727227990755
2000-10-04 00:00:00,0.0,8.05,13.26,8.983454701677461
2000-10-05 00:00:00,0.0,8.6,12.19,8.357123119639201
2000-10-06 00:00:00,0.0,7.3,11.15,7.774459732486512
2000-10-07 00:00:00,0.23,6.02,10.57,7.409960377814418
2000-10-08 00:00:00,0.0,9.71,10.39,6.893333716869525
2000-10-09 00:00:00,0.04,6.77,10.38,6.432203471133685
2000-10-10 00:00:00,0.02,6.14,10.05,5.991859807099647
2000-10-11 00:00:00,1.27,4.66,10.35,7.111721724470383
2000-10-12 00:00:00,1.45,4.89,12.03,8.433813928822774
2000-10-13 00:00:00,0.54,6.35,14.99,8.36772223601525
2000-10-14 00:00:00,0.0,3.17,14.7,7.7843198724277185
2000-10-15 00:00:00,0.0,4.06,13.04,7.241592654147303
2000-10-16 00:00:00,0.05,4.95,11.94,6.762524779744863
2000-10-17 00:00:00,0.11,7.84,11.87,6.3609543116113585
2000-10-18 00:00:00,2.66,8.79,12.15,9.830409091499462
2000-10-19 00:00:00,0.93,7.67,12.03,10.182273567078482
2000-10-20 00:00:00,0.45,6.05,11.22,9.886897195575546
2000-10-21 00:00:00,0.0,3.86,10.35,9.197577087933867
2000-10-22 00:00:00,6.63,6.98,16.84,19.43698347058539
2000-10-23 00:00:00,0.15,3.3,25.61,18.18528313213995
2000-10-24 00:00:00,0.49,3.64,17.41,17.379020052059232
2000-10-25 00:00:00,2.5,4.67,18.37,19.785316366570687
2000-10-26 00:00:00,1.5,2.44,27.21,20.016624931122635
2000-10-27 00:00:00,0.01,-0.22,18.06,18.62300277885643
2000-10-28 00:00:00,1.42,-1.56,11.96,17.477159409001587
2000-10-29 00:00:00,0.06,-0.37,10.35,16.27781199710054
2000-10-30 00:00:00,0.77,-0.45,9.22,15.794097631673921
2000-10-31 00:00:00,2.28,-0.33,8.49,16.65011597140419
2000-11-01 00:00:00,0.0,3.36,12.29,15.540299856128756
2000-11-02 00:00:00,0.0,3.42,13.3,19.371162261374476
2000-11-03 00:00:00,0.0,-0.04,11.85,19.06000010725392
2000-11-04 00:00:00,0.2,2.17,10.82,17.78616641054468
2000-11-05 00:00:00,0.0,2.4,10.14,17.248483096566208
2000-11-06 00:00:00,0.0,-0.07,9.12,16.04621048765143
2000-11-07 00:00:00,0.0,-4.84,7.61,14.928287962281813
2000-11-08 00:00:00,1.9,-1.19,8.21,14.45524239988358
2000-11-09 00:00:00,0.35,2.72,10.35,13.677040338205266
2000-11-10 00:00:00,0.0,2.77,10.45,15.429700210577913
2000-11-11 00:00:00,0.0,-0.06,9.29,14.35434751459026
2000-11-12 00:00:00,0.0,-0.39,10.37,13.354774986018176
2000-11-13 00:00:00,0.65,2.7,12.15,12.917469275240467
2000-11-14 00:00:00,0.37,0.39,11.2,12.391714362699242
2000-11-15 00:00:00,0.0,-5.38,6.0,11.52822862421789
2000-11-16 00:00:00,0.0,-7.55,4.0,10.725648217560394
2000-11-17 00:00:00,0.0,-1.94,7.0,9.978319950248585
2000-11-18 00:00:00,0.0,1.58,13.51,9.283796051159184
2000-11-19 00:00:00,1.55,-0.44,9.22,9.485120884538198
2000-11-20 00:00:00,0.66,0.59,8.61,9.104980198760904
2000-11-21 00:00:00,0.01,2.21,8.94,8.798362313495941
2000-11-22 00:00:00,0.04,-0.56,7.78,9.670043480349944
2000-11-23 00:00:00,0.02,-0.35,6.37,9.000282904085738
2000-11-24 00:00:00,0.0,1.79,7.32,8.37447824915249
2000-11-25 00:00:00,0.01,2.96,7.35,7.841438126889894
2000-11-26 00:00:00,0.0,2.18,7.54,7.810190571978095
2000-11-27 00:00:00,0.0,1.25,7.0,7.266799197255098
2000-11-28 00:00:00,0.0,0.36,6.0,6.7608703993209875
2000-11-29 00:00:00,0.0,-5.09,4.0,6.290634334993401
2000-11-30 00:00:00,2.7,-1.09,8.0,6.744397421434044
2000-12-01 00:00:00,3.51,1.28,18.06,10.20771272004046
