Datetime,Percepation (mm),Temperatur (C),Observed discharge (m3/s),Simulated discharge (m3/s)
2012-09-01 00:00:00,0.0,5.81,13.63,0.0
2012-09-02 00:00:00,1.58,11.47,11.91,6.548103813623479
2012-09-03 00:00:00,6.26,9.04,22.62,31.657578309963714
2012-09-04 00:00:00,1.46,8.25,26.66,31.912050046313336
2012-09-05 00:00:00,0.69,9.51,21.53,28.909781579302514
2012-09-06 00:00:00,3.2,3.22,29.07,35.33956284256277
2012-09-07 00:00:00,3.66,4.26,39.08,44.216691467591474
2012-09-08 00:00:00,7.24,4.13,110.95,73.69231558124143
2012-09-09 00:00:00,3.6,2.23,72.26,68.34013049729964
2012-09-10 00:00:00,1.48,6.02,41.4,59.839814994855004
2012-09-11 00:00:00,0.06,11.16,29.41,52.61516076563227
2012-09-12 00:00:00,4.6,6.52,39.35,62.26086091226437
2012-09-13 00:00:00,0.58,4.95,24.43,53.2502828151909
2012-09-14 00:00:00,8.33,5.17,40.14,106.34955267412894
2012-09-15 00:00:00,3.29,5.79,63.34,88.80981604195921
2012-09-16 00:00:00,0.88,6.42,39.27,60.27563261523366
2012-09-17 00:00:00,3.49,8.54,27.67,63.82893156905819
2012-09-18 00:00:00,0.31,5.58,30.55,53.41575942156637
2012-09-19 00:00:00,9.85,4.21,61.55,126.57903418823524
2012-09-20 00:00:00,3.26,2.05,61.66,82.9040894231811
2012-09-21 00:00:00,0.26,1.37,33.28,56.90073644523034
2012-09-22 00:00:00,0.0,1.47,23.99,46.61100862269169
2012-09-23 00:00:00,0.03,1.19,20.19,38.14179524643724
2012-09-24 00:00:00,0.0,1.21,16.58,31.18664182352832
2012-09-25 00:00:00,0.01,2.37,13.84,25.51601898738402
2012-09-26 00:00:00,1.8,2.74,12.35,28.754411198562227
2012-09-27 00:00:00,0.2,2.92,11.11,25.207085812623248
2012-09-28 00:00:00,1.92,4.86,12.57,28.967261131644168
2012-09-29 00:00:00,0.79,4.81,13.04,29.0107318446395
2012-09-30 00:00:00,3.41,4.97,13.17,38.65113105170402
2012-10-01 00:00:00,0.28,5.55,13.78,32.720543045884725
2012-10-02 00:00:00,0.0,6.34,10.4,26.734605300557316
2012-10-03 00:00:00,0.02,4.98,8.79,21.923048105550897
2012-10-04 00:00:00,0.19,5.38,8.39,18.683164637701953
2012-10-05 00:00:00,0.02,2.99,7.75,15.33482057350173
2012-10-06 00:00:00,0.0,1.0,6.78,12.529449001274962
2012-10-07 00:00:00,3.88,2.49,45.41,22.640428956513325
2012-10-08 00:00:00,24.86,2.88,220.55,206.33608175174092
2012-10-09 00:00:00,8.81,1.51,98.36,156.3996800865869
2012-10-10 00:00:00,2.8,-0.68,64.49,74.47434682662042
2012-10-11 00:00:00,2.54,-0.05,51.01,57.84642735971185
2012-10-12 00:00:00,0.08,-1.09,36.23,48.91589741635212
2012-10-13 00:00:00,0.0,-1.18,24.6,40.062786929678246
2012-10-14 00:00:00,0.07,-1.15,20.55,33.378654324118614
